"","Park","Year","SingleVisitorEntryFee"
"196","Black Canyon of the Gunnison NP","1980",NA
"197","Black Canyon of the Gunnison NP","1981",NA
"198","Black Canyon of the Gunnison NP","1982",NA
"199","Black Canyon of the Gunnison NP","1983",NA
"200","Black Canyon of the Gunnison NP","1984",NA
"201","Black Canyon of the Gunnison NP","1985",NA
"202","Black Canyon of the Gunnison NP","1986",NA
"203","Black Canyon of the Gunnison NP","1987",NA
"204","Black Canyon of the Gunnison NP","1988",NA
"205","Black Canyon of the Gunnison NP","1989",NA
"206","Black Canyon of the Gunnison NP","1990",NA
"207","Black Canyon of the Gunnison NP","1991",NA
"208","Black Canyon of the Gunnison NP","1992",NA
"209","Black Canyon of the Gunnison NP","1993",NA
"210","Black Canyon of the Gunnison NP","1994",NA
"211","Black Canyon of the Gunnison NP","1995",NA
"212","Black Canyon of the Gunnison NP","1996",NA
"213","Black Canyon of the Gunnison NP","1997",NA
"214","Black Canyon of the Gunnison NP","1998",NA
"215","Black Canyon of the Gunnison NP","1999",NA
"216","Black Canyon of the Gunnison NP","2000",NA
"217","Black Canyon of the Gunnison NP","2001",NA
"218","Black Canyon of the Gunnison NP","2002",NA
"219","Black Canyon of the Gunnison NP","2003",NA
"220","Black Canyon of the Gunnison NP","2004",NA
"221","Black Canyon of the Gunnison NP","2005",NA
"222","Black Canyon of the Gunnison NP","2006",NA
"223","Black Canyon of the Gunnison NP","2007",NA
"224","Black Canyon of the Gunnison NP","2008",NA
"225","Black Canyon of the Gunnison NP","2009",NA
"226","Black Canyon of the Gunnison NP","2010",NA
"227","Black Canyon of the Gunnison NP","2011",NA
"228","Black Canyon of the Gunnison NP","2012",NA
"229","Black Canyon of the Gunnison NP","2013",NA
"230","Black Canyon of the Gunnison NP","2014",NA
"231","Black Canyon of the Gunnison NP","2015",NA
"232","Black Canyon of the Gunnison NP","2016",NA
"233","Black Canyon of the Gunnison NP","2017",NA
"234","Black Canyon of the Gunnison NP","2018",NA
"235","Bryce Canyon NP","1980",NA
"236","Bryce Canyon NP","1981",NA
"237","Bryce Canyon NP","1982",NA
"238","Bryce Canyon NP","1983",NA
"239","Bryce Canyon NP","1984",NA
"240","Bryce Canyon NP","1985",NA
"241","Bryce Canyon NP","1986",NA
"242","Bryce Canyon NP","1987",NA
"243","Bryce Canyon NP","1988",NA
"244","Bryce Canyon NP","1989",NA
"245","Bryce Canyon NP","1990",NA
"246","Bryce Canyon NP","1991",NA
"247","Bryce Canyon NP","1992",NA
"248","Bryce Canyon NP","1993",NA
"249","Bryce Canyon NP","1994",NA
"250","Bryce Canyon NP","1995",NA
"251","Bryce Canyon NP","1996",NA
"252","Bryce Canyon NP","1997",NA
"253","Bryce Canyon NP","1998",NA
"254","Bryce Canyon NP","1999",NA
"255","Bryce Canyon NP","2000",NA
"256","Bryce Canyon NP","2001",NA
"257","Bryce Canyon NP","2002",NA
"258","Bryce Canyon NP","2003",NA
"259","Bryce Canyon NP","2004",NA
"260","Bryce Canyon NP","2005",NA
"261","Bryce Canyon NP","2006",NA
"262","Bryce Canyon NP","2007",NA
"263","Bryce Canyon NP","2008",NA
"264","Bryce Canyon NP","2009",NA
"265","Bryce Canyon NP","2010",NA
"266","Bryce Canyon NP","2011",NA
"267","Bryce Canyon NP","2012",NA
"268","Bryce Canyon NP","2013",NA
"269","Bryce Canyon NP","2014",NA
"270","Bryce Canyon NP","2015",NA
"271","Bryce Canyon NP","2016",NA
"272","Bryce Canyon NP","2017",NA
"273","Bryce Canyon NP","2018",NA
"274","Canyonlands NP","1980",NA
"275","Canyonlands NP","1981",NA
"276","Canyonlands NP","1982",NA
"277","Canyonlands NP","1983",NA
"278","Canyonlands NP","1984",NA
"279","Canyonlands NP","1985",NA
"280","Canyonlands NP","1986",NA
"281","Canyonlands NP","1987",NA
"282","Canyonlands NP","1988",NA
"283","Canyonlands NP","1989",NA
"284","Canyonlands NP","1990",NA
"285","Canyonlands NP","1991",NA
"286","Canyonlands NP","1992",NA
"287","Canyonlands NP","1993",NA
"288","Canyonlands NP","1994",NA
"289","Canyonlands NP","1995",NA
"290","Canyonlands NP","1996",NA
"291","Canyonlands NP","1997",NA
"292","Canyonlands NP","1998",NA
"293","Canyonlands NP","1999",NA
"294","Canyonlands NP","2000",NA
"295","Canyonlands NP","2001",NA
"296","Canyonlands NP","2002",NA
"297","Canyonlands NP","2003",NA
"298","Canyonlands NP","2004",NA
"299","Canyonlands NP","2005",NA
"300","Canyonlands NP","2006",NA
"301","Canyonlands NP","2007",NA
"302","Canyonlands NP","2008",NA
"303","Canyonlands NP","2009",NA
"304","Canyonlands NP","2010",NA
"305","Canyonlands NP","2011",NA
"306","Canyonlands NP","2012",NA
"307","Canyonlands NP","2013",NA
"308","Canyonlands NP","2014",NA
"309","Canyonlands NP","2015",NA
"310","Canyonlands NP","2016",NA
"311","Canyonlands NP","2017",NA
"312","Canyonlands NP","2018",NA
"313","Capitol Reef NP","1980",NA
"314","Capitol Reef NP","1981",NA
"315","Capitol Reef NP","1982",NA
"316","Capitol Reef NP","1983",NA
"317","Capitol Reef NP","1984",NA
"318","Capitol Reef NP","1985",NA
"319","Capitol Reef NP","1986",NA
"320","Capitol Reef NP","1987",NA
"321","Capitol Reef NP","1988",NA
"322","Capitol Reef NP","1989",NA
"323","Capitol Reef NP","1990",NA
"324","Capitol Reef NP","1991",NA
"325","Capitol Reef NP","1992",NA
"326","Capitol Reef NP","1993",NA
"327","Capitol Reef NP","1994",NA
"328","Capitol Reef NP","1995",NA
"329","Capitol Reef NP","1996",NA
"330","Capitol Reef NP","1997",NA
"331","Capitol Reef NP","1998",NA
"332","Capitol Reef NP","1999",NA
"333","Capitol Reef NP","2000",NA
"334","Capitol Reef NP","2001",NA
"335","Capitol Reef NP","2002",NA
"336","Capitol Reef NP","2003",NA
"337","Capitol Reef NP","2004",NA
"338","Capitol Reef NP","2005",NA
"339","Capitol Reef NP","2006",NA
"340","Capitol Reef NP","2007",NA
"341","Capitol Reef NP","2008",NA
"342","Capitol Reef NP","2009",NA
"343","Capitol Reef NP","2010",NA
"344","Capitol Reef NP","2011",NA
"345","Capitol Reef NP","2012",NA
"346","Capitol Reef NP","2013",NA
"347","Capitol Reef NP","2014",NA
"348","Capitol Reef NP","2015",NA
"349","Capitol Reef NP","2016",NA
"350","Capitol Reef NP","2017",NA
"351","Capitol Reef NP","2018",NA
"352","Carlsbad Caverns NP","1980",NA
"353","Carlsbad Caverns NP","1981",NA
"354","Carlsbad Caverns NP","1982",NA
"355","Carlsbad Caverns NP","1983",NA
"356","Carlsbad Caverns NP","1984",NA
"357","Carlsbad Caverns NP","1985",NA
"358","Carlsbad Caverns NP","1986",NA
"359","Carlsbad Caverns NP","1987",NA
"360","Carlsbad Caverns NP","1988",NA
"361","Carlsbad Caverns NP","1989",NA
"362","Carlsbad Caverns NP","1990",NA
"363","Carlsbad Caverns NP","1991",NA
"364","Carlsbad Caverns NP","1992",NA
"365","Carlsbad Caverns NP","1993",NA
"366","Carlsbad Caverns NP","1994",NA
"367","Carlsbad Caverns NP","1995",NA
"368","Carlsbad Caverns NP","1996",NA
"369","Carlsbad Caverns NP","1997",NA
"370","Carlsbad Caverns NP","1998",NA
"371","Carlsbad Caverns NP","1999",NA
"372","Carlsbad Caverns NP","2000",NA
"373","Carlsbad Caverns NP","2001",NA
"374","Carlsbad Caverns NP","2002",NA
"375","Carlsbad Caverns NP","2003",NA
"376","Carlsbad Caverns NP","2004",NA
"377","Carlsbad Caverns NP","2005",NA
"378","Carlsbad Caverns NP","2006",NA
"379","Carlsbad Caverns NP","2007",NA
"380","Carlsbad Caverns NP","2008",NA
"381","Carlsbad Caverns NP","2009",NA
"382","Carlsbad Caverns NP","2010",NA
"383","Carlsbad Caverns NP","2011",NA
"384","Carlsbad Caverns NP","2012",NA
"385","Carlsbad Caverns NP","2013",NA
"386","Carlsbad Caverns NP","2014",NA
"387","Carlsbad Caverns NP","2015",NA
"388","Carlsbad Caverns NP","2016",NA
"389","Carlsbad Caverns NP","2017",NA
"390","Carlsbad Caverns NP","2018",NA
"391","Channel Islands NP","1980",NA
"392","Channel Islands NP","1981",NA
"393","Channel Islands NP","1982",NA
"394","Channel Islands NP","1983",NA
"395","Channel Islands NP","1984",NA
"396","Channel Islands NP","1985",NA
"397","Channel Islands NP","1986",NA
"398","Channel Islands NP","1987",NA
"399","Channel Islands NP","1988",NA
"400","Channel Islands NP","1989",NA
"401","Channel Islands NP","1990",NA
"402","Channel Islands NP","1991",NA
"403","Channel Islands NP","1992",NA
"404","Channel Islands NP","1993",NA
"405","Channel Islands NP","1994",NA
"406","Channel Islands NP","1995",NA
"407","Channel Islands NP","1996",NA
"408","Channel Islands NP","1997",NA
"409","Channel Islands NP","1998",NA
"410","Channel Islands NP","1999",NA
"411","Channel Islands NP","2000",NA
"412","Channel Islands NP","2001",NA
"413","Channel Islands NP","2002",NA
"414","Channel Islands NP","2003",NA
"415","Channel Islands NP","2004",NA
"416","Channel Islands NP","2005",NA
"417","Channel Islands NP","2006",NA
"418","Channel Islands NP","2007",NA
"419","Channel Islands NP","2008",NA
"420","Channel Islands NP","2009",NA
"421","Channel Islands NP","2010",NA
"422","Channel Islands NP","2011",NA
"423","Channel Islands NP","2012",NA
"424","Channel Islands NP","2013",NA
"425","Channel Islands NP","2014",NA
"426","Channel Islands NP","2015",NA
"427","Channel Islands NP","2016",NA
"428","Channel Islands NP","2017",NA
"429","Channel Islands NP","2018",NA
"430","Congaree NP","1980",NA
"431","Congaree NP","1981",NA
"432","Congaree NP","1982",NA
"433","Congaree NP","1983",NA
"434","Congaree NP","1984",NA
"435","Congaree NP","1985",NA
"436","Congaree NP","1986",NA
"437","Congaree NP","1987",NA
"438","Congaree NP","1988",NA
"439","Congaree NP","1989",NA
"440","Congaree NP","1990",NA
"441","Congaree NP","1991",NA
"442","Congaree NP","1992",NA
"443","Congaree NP","1993",NA
"444","Congaree NP","1994",NA
"445","Congaree NP","1995",NA
"446","Congaree NP","1996",NA
"447","Congaree NP","1997",NA
"448","Congaree NP","1998",NA
"449","Congaree NP","1999",NA
"450","Congaree NP","2000",NA
"451","Congaree NP","2001",NA
"452","Congaree NP","2002",NA
"453","Congaree NP","2003",NA
"454","Congaree NP","2004",NA
"455","Congaree NP","2005",NA
"456","Congaree NP","2006",NA
"457","Congaree NP","2007",NA
"458","Congaree NP","2008",NA
