"","Park","Year","SingleVisitorEntryFee"
"743","Glacier NP","1981",NA
"744","Glacier NP","1982",NA
"745","Glacier NP","1983",NA
"746","Glacier NP","1984",NA
"747","Glacier NP","1985",NA
"748","Glacier NP","1986",NA
"749","Glacier NP","1987",NA
"750","Glacier NP","1988",NA
"751","Glacier NP","1989",NA
"752","Glacier NP","1990",NA
"753","Glacier NP","1991",NA
"754","Glacier NP","1992",NA
"755","Glacier NP","1993",NA
"756","Glacier NP","1994",NA
"757","Glacier NP","1995",NA
"758","Glacier NP","1996",NA
"759","Glacier NP","1997",NA
"760","Glacier NP","1998",NA
"761","Glacier NP","1999",NA
"762","Glacier NP","2000",NA
"763","Glacier NP","2001",NA
"764","Glacier NP","2002",NA
"765","Glacier NP","2003",NA
"766","Glacier NP","2004",NA
"767","Glacier NP","2005",NA
"768","Glacier NP","2006",NA
"769","Glacier NP","2007",NA
"770","Glacier NP","2008",NA
"771","Glacier NP","2009",NA
"772","Glacier NP","2010",NA
"773","Glacier NP","2011",NA
"774","Glacier NP","2012",NA
"775","Glacier NP","2013",NA
"776","Glacier NP","2014",NA
"777","Glacier NP","2015",NA
"778","Glacier NP","2016",NA
"779","Glacier NP","2017",NA
"780","Glacier NP","2018",NA
"781","Glacier Bay NP & PRES","1980",NA
"782","Glacier Bay NP & PRES","1981",NA
"783","Glacier Bay NP & PRES","1982",NA
"784","Glacier Bay NP & PRES","1983",NA
"785","Glacier Bay NP & PRES","1984",NA
"786","Glacier Bay NP & PRES","1985",NA
"787","Glacier Bay NP & PRES","1986",NA
"788","Glacier Bay NP & PRES","1987",NA
"789","Glacier Bay NP & PRES","1988",NA
"790","Glacier Bay NP & PRES","1989",NA
"791","Glacier Bay NP & PRES","1990",NA
"792","Glacier Bay NP & PRES","1991",NA
"793","Glacier Bay NP & PRES","1992",NA
"794","Glacier Bay NP & PRES","1993",NA
"795","Glacier Bay NP & PRES","1994",NA
"796","Glacier Bay NP & PRES","1995",NA
"797","Glacier Bay NP & PRES","1996",NA
"798","Glacier Bay NP & PRES","1997",NA
"799","Glacier Bay NP & PRES","1998",NA
"800","Glacier Bay NP & PRES","1999",NA
"801","Glacier Bay NP & PRES","2000",NA
"802","Glacier Bay NP & PRES","2001",NA
"803","Glacier Bay NP & PRES","2002",NA
"804","Glacier Bay NP & PRES","2003",NA
"805","Glacier Bay NP & PRES","2004",NA
"806","Glacier Bay NP & PRES","2005",NA
"807","Glacier Bay NP & PRES","2006",NA
"808","Glacier Bay NP & PRES","2007",NA
"809","Glacier Bay NP & PRES","2008",NA
"810","Glacier Bay NP & PRES","2009",NA
"811","Glacier Bay NP & PRES","2010",NA
"812","Glacier Bay NP & PRES","2011",NA
"813","Glacier Bay NP & PRES","2012",NA
"814","Glacier Bay NP & PRES","2013",NA
"815","Glacier Bay NP & PRES","2014",NA
"816","Glacier Bay NP & PRES","2015",NA
"817","Glacier Bay NP & PRES","2016",NA
"818","Glacier Bay NP & PRES","2017",NA
"819","Glacier Bay NP & PRES","2018",NA
"820","Great Basin NP","1980",NA
"821","Great Basin NP","1981",NA
"822","Great Basin NP","1982",NA
"823","Great Basin NP","1983",NA
"824","Great Basin NP","1984",NA
"825","Great Basin NP","1985",NA
"826","Great Basin NP","1986",NA
"827","Great Basin NP","1987",NA
"828","Great Basin NP","1988",NA
"829","Great Basin NP","1989",NA
"830","Great Basin NP","1990",NA
"831","Great Basin NP","1991",NA
"832","Great Basin NP","1992",NA
"833","Great Basin NP","1993",NA
"834","Great Basin NP","1994",NA
"835","Great Basin NP","1995",NA
"836","Great Basin NP","1996",NA
"837","Great Basin NP","1997",NA
"838","Great Basin NP","1998",NA
"839","Great Basin NP","1999",NA
"840","Great Basin NP","2000",NA
"841","Great Basin NP","2001",NA
"842","Great Basin NP","2002",NA
"843","Great Basin NP","2003",NA
"844","Great Basin NP","2004",NA
"845","Great Basin NP","2005",NA
"846","Great Basin NP","2006",NA
"847","Great Basin NP","2007",NA
"848","Great Basin NP","2008",NA
"849","Great Basin NP","2009",NA
"850","Great Basin NP","2010",NA
"851","Great Basin NP","2011",NA
"852","Great Basin NP","2012",NA
"853","Great Basin NP","2013",NA
"854","Great Basin NP","2014",NA
"855","Great Basin NP","2015",NA
"856","Great Basin NP","2016",NA
"857","Great Basin NP","2017",NA
"858","Great Basin NP","2018",NA
"859","Grand Canyon NP","1980",NA
"860","Grand Canyon NP","1981",NA
"861","Grand Canyon NP","1982",NA
"862","Grand Canyon NP","1983",NA
"863","Grand Canyon NP","1984",NA
"864","Grand Canyon NP","1985",NA
"865","Grand Canyon NP","1986",NA
"866","Grand Canyon NP","1987",NA
"867","Grand Canyon NP","1988",NA
"868","Grand Canyon NP","1989",NA
"869","Grand Canyon NP","1990",NA
"870","Grand Canyon NP","1991",NA
"871","Grand Canyon NP","1992",NA
"872","Grand Canyon NP","1993",NA
"873","Grand Canyon NP","1994",NA
"874","Grand Canyon NP","1995",NA
"875","Grand Canyon NP","1996",NA
"876","Grand Canyon NP","1997",NA
"877","Grand Canyon NP","1998",NA
"878","Grand Canyon NP","1999",NA
"879","Grand Canyon NP","2000",NA
"880","Grand Canyon NP","2001",NA
"881","Grand Canyon NP","2002",NA
"882","Grand Canyon NP","2003",NA
"883","Grand Canyon NP","2004",NA
"884","Grand Canyon NP","2005",NA
"885","Grand Canyon NP","2006",NA
"886","Grand Canyon NP","2007",NA
"887","Grand Canyon NP","2008",NA
"888","Grand Canyon NP","2009",NA
"889","Grand Canyon NP","2010",NA
"890","Grand Canyon NP","2011",NA
"891","Grand Canyon NP","2012",NA
"892","Grand Canyon NP","2013",NA
"893","Grand Canyon NP","2014",NA
"894","Grand Canyon NP","2015",NA
"895","Grand Canyon NP","2016",NA
"896","Grand Canyon NP","2017",NA
"897","Grand Canyon NP","2018",NA
"898","Great Sand Dunes NP & PRES","1980",NA
"899","Great Sand Dunes NP & PRES","1981",NA
"900","Great Sand Dunes NP & PRES","1982",NA
"901","Great Sand Dunes NP & PRES","1983",NA
"902","Great Sand Dunes NP & PRES","1984",NA
"903","Great Sand Dunes NP & PRES","1985",NA
"904","Great Sand Dunes NP & PRES","1986",NA
"905","Great Sand Dunes NP & PRES","1987",NA
"906","Great Sand Dunes NP & PRES","1988",NA
"907","Great Sand Dunes NP & PRES","1989",NA
"908","Great Sand Dunes NP & PRES","1990",NA
"909","Great Sand Dunes NP & PRES","1991",NA
"910","Great Sand Dunes NP & PRES","1992",NA
"911","Great Sand Dunes NP & PRES","1993",NA
"912","Great Sand Dunes NP & PRES","1994",NA
"913","Great Sand Dunes NP & PRES","1995",NA
"914","Great Sand Dunes NP & PRES","1996",NA
"915","Great Sand Dunes NP & PRES","1997",NA
"916","Great Sand Dunes NP & PRES","1998",NA
"917","Great Sand Dunes NP & PRES","1999",NA
"918","Great Sand Dunes NP & PRES","2000",NA
"919","Great Sand Dunes NP & PRES","2001",NA
"920","Great Sand Dunes NP & PRES","2002",NA
"921","Great Sand Dunes NP & PRES","2003",NA
"922","Great Sand Dunes NP & PRES","2004",NA
"923","Great Sand Dunes NP & PRES","2005",NA
"924","Great Sand Dunes NP & PRES","2006",NA
"925","Great Sand Dunes NP & PRES","2007",NA
"926","Great Sand Dunes NP & PRES","2008",NA
"927","Great Sand Dunes NP & PRES","2009",NA
"928","Great Sand Dunes NP & PRES","2010",NA
"929","Great Sand Dunes NP & PRES","2011",NA
"930","Great Sand Dunes NP & PRES","2012",NA
"931","Great Sand Dunes NP & PRES","2013",NA
"932","Great Sand Dunes NP & PRES","2014",NA
"933","Great Sand Dunes NP & PRES","2015",NA
"934","Great Sand Dunes NP & PRES","2016",NA
"935","Great Sand Dunes NP & PRES","2017",NA
"936","Great Sand Dunes NP & PRES","2018",NA
"937","Great Smoky Mountains NP","1980",NA
"938","Great Smoky Mountains NP","1981",NA
"939","Great Smoky Mountains NP","1982",NA
"940","Great Smoky Mountains NP","1983",NA
"941","Great Smoky Mountains NP","1984",NA
"942","Great Smoky Mountains NP","1985",NA
"943","Great Smoky Mountains NP","1986",NA
"944","Great Smoky Mountains NP","1987",NA
"945","Great Smoky Mountains NP","1988",NA
"946","Great Smoky Mountains NP","1989",NA
"947","Great Smoky Mountains NP","1990",NA
"948","Great Smoky Mountains NP","1991",NA
"949","Great Smoky Mountains NP","1992",NA
"950","Great Smoky Mountains NP","1993",NA
"951","Great Smoky Mountains NP","1994",NA
"952","Great Smoky Mountains NP","1995",NA
"953","Great Smoky Mountains NP","1996",NA
"954","Great Smoky Mountains NP","1997",NA
"955","Great Smoky Mountains NP","1998",NA
"956","Great Smoky Mountains NP","1999",NA
"957","Great Smoky Mountains NP","2000",NA
"958","Great Smoky Mountains NP","2001",NA
"959","Great Smoky Mountains NP","2002",NA
"960","Great Smoky Mountains NP","2003",NA
"961","Great Smoky Mountains NP","2004",NA
"962","Great Smoky Mountains NP","2005",NA
"963","Great Smoky Mountains NP","2006",NA
"964","Great Smoky Mountains NP","2007",NA
"965","Great Smoky Mountains NP","2008",NA
"966","Great Smoky Mountains NP","2009",NA
"967","Great Smoky Mountains NP","2010",NA
"968","Great Smoky Mountains NP","2011",NA
"969","Great Smoky Mountains NP","2012",NA
"970","Great Smoky Mountains NP","2013",NA
"971","Great Smoky Mountains NP","2014",NA
"972","Great Smoky Mountains NP","2015",NA
"973","Great Smoky Mountains NP","2016",NA
"974","Great Smoky Mountains NP","2017",NA
"975","Great Smoky Mountains NP","2018",NA
"976","Grand Teton NP","1980",NA
"977","Grand Teton NP","1981",NA
"978","Grand Teton NP","1982",NA
"979","Grand Teton NP","1983",NA
"980","Grand Teton NP","1984",NA
"981","Grand Teton NP","1985",NA
"982","Grand Teton NP","1986",NA
"983","Grand Teton NP","1987",NA
"984","Grand Teton NP","1988",NA
"985","Grand Teton NP","1989",NA
"986","Grand Teton NP","1990",NA
"987","Grand Teton NP","1991",NA
"988","Grand Teton NP","1992",NA
"989","Grand Teton NP","1993",NA
"990","Grand Teton NP","1994",NA
"991","Grand Teton NP","1995",NA
"992","Grand Teton NP","1996",NA
"993","Grand Teton NP","1997",NA
"994","Grand Teton NP","1998",NA
"995","Grand Teton NP","1999",NA
"996","Grand Teton NP","2000",NA
"997","Grand Teton NP","2001",NA
"998","Grand Teton NP","2002",NA
"999","Grand Teton NP","2003",NA
"1000","Grand Teton NP","2004",NA
"1001","Grand Teton NP","2005",NA
"1002","Grand Teton NP","2006",NA
"1003","Grand Teton NP","2007",NA
"1004","Grand Teton NP","2008",NA
"1005","Grand Teton NP","2009",NA
"1006","Grand Teton NP","2010",NA
"1007","Grand Teton NP","2011",NA
"1008","Grand Teton NP","2012",NA
"1009","Grand Teton NP","2013",NA
"1010","Grand Teton NP","2014",NA
"1011","Grand Teton NP","2015",NA
"1012","Grand Teton NP","2016",NA
"1013","Grand Teton NP","2017",NA
"1014","Grand Teton NP","2018",NA
"1015","Guadalupe Mountains NP","1980",NA
"1016","Guadalupe Mountains NP","1981",NA
"1017","Guadalupe Mountains NP","1982",NA
"1018","Guadalupe Mountains NP","1983",NA
"1019","Guadalupe Mountains NP","1984",NA
"1020","Guadalupe Mountains NP","1985",NA
"1021","Guadalupe Mountains NP","1986",NA
"1022","Guadalupe Mountains NP","1987",NA
"1023","Guadalupe Mountains NP","1988",NA
"1024","Guadalupe Mountains NP","1989",NA
"1025","Guadalupe Mountains NP","1990",NA
"1026","Guadalupe Mountains NP","1991",NA
"1027","Guadalupe Mountains NP","1992",NA
"1028","Guadalupe Mountains NP","1993",NA
"1029","Guadalupe Mountains NP","1994",NA
"1030","Guadalupe Mountains NP","1995",NA
"1031","Guadalupe Mountains NP","1996",NA
"1032","Guadalupe Mountains NP","1997",NA
"1033","Guadalupe Mountains NP","1998",NA
"1034","Guadalupe Mountains NP","1999",NA
"1035","Guadalupe Mountains NP","2000",NA
"1036","Guadalupe Mountains NP","2001",NA
"1037","Guadalupe Mountains NP","2002",NA
"1038","Guadalupe Mountains NP","2003",NA
"1039","Guadalupe Mountains NP","2004",NA
"1040","Guadalupe Mountains NP","2005",NA
"1041","Guadalupe Mountains NP","2006",NA
"1042","Guadalupe Mountains NP","2007",NA
"1043","Guadalupe Mountains NP","2008",NA
"1044","Guadalupe Mountains NP","2009",NA
"1045","Guadalupe Mountains NP","2010",NA
"1046","Guadalupe Mountains NP","2011",NA
"1047","Guadalupe Mountains NP","2012",NA
"1048","Guadalupe Mountains NP","2013",NA
"1049","Guadalupe Mountains NP","2014",NA
"1050","Guadalupe Mountains NP","2015",NA
"1051","Guadalupe Mountains NP","2016",NA
"1052","Guadalupe Mountains NP","2017",NA
"1053","Guadalupe Mountains NP","2018",NA
"1054","Haleakala NP","1980",NA
"1055","Haleakala NP","1981",NA
"1056","Haleakala NP","1982",NA
"1057","Haleakala NP","1983",NA
"1058","Haleakala NP","1984",NA
"1059","Haleakala NP","1985",NA
"1060","Haleakala NP","1986",NA
"1061","Haleakala NP","1987",NA
"1062","Haleakala NP","1988",NA
"1063","Haleakala NP","1989",NA
"1064","Haleakala NP","1990",NA
"1065","Haleakala NP","1991",NA
"1066","Haleakala NP","1992",NA
"1067","Haleakala NP","1993",NA
"1068","Haleakala NP","1994",NA
"1069","Haleakala NP","1995",NA
"1070","Haleakala NP","1996",NA
"1071","Haleakala NP","1997",NA
"1072","Haleakala NP","1998",NA
"1073","Haleakala NP","1999",NA
"1074","Haleakala NP","2000",NA
"1075","Haleakala NP","2001",NA
"1076","Haleakala NP","2002",NA
"1077","Haleakala NP","2003",NA
"1078","Haleakala NP","2004",NA
"1079","Haleakala NP","2005",NA
"1080","Haleakala NP","2006",NA
"1081","Haleakala NP","2007",NA
"1082","Haleakala NP","2008",NA
"1083","Haleakala NP","2009",NA
"1084","Haleakala NP","2010",NA
"1085","Haleakala NP","2011",NA
"1086","Haleakala NP","2012",NA
"1087","Haleakala NP","2013",NA
"1088","Haleakala NP","2014",NA
"1089","Haleakala NP","2015",NA
"1090","Haleakala NP","2016",NA
"1091","Haleakala NP","2017",NA
"1092","Haleakala NP","2018",NA
"1093","Hawaii Volcanoes NP","1980",NA
"1094","Hawaii Volcanoes NP","1981",NA
"1095","Hawaii Volcanoes NP","1982",NA
"1096","Hawaii Volcanoes NP","1983",NA
"1097","Hawaii Volcanoes NP","1984",NA
"1098","Hawaii Volcanoes NP","1985",NA
"1099","Hawaii Volcanoes NP","1986",NA
"1100","Hawaii Volcanoes NP","1987",NA
"1101","Hawaii Volcanoes NP","1988",NA
"1102","Hawaii Volcanoes NP","1989",NA
"1103","Hawaii Volcanoes NP","1990",NA
"1104","Hawaii Volcanoes NP","1991",NA
"1105","Hawaii Volcanoes NP","1992",NA
"1106","Hawaii Volcanoes NP","1993",NA
"1107","Hawaii Volcanoes NP","1994",NA
"1108","Hawaii Volcanoes NP","1995",NA
"1109","Hawaii Volcanoes NP","1996",NA
"1110","Hawaii Volcanoes NP","1997",NA
"1111","Hawaii Volcanoes NP","1998",NA
"1112","Hawaii Volcanoes NP","1999",NA
"1113","Hawaii Volcanoes NP","2000",NA
"1114","Hawaii Volcanoes NP","2001",NA
"1115","Hawaii Volcanoes NP","2002",NA
"1116","Hawaii Volcanoes NP","2003",NA
"1117","Hawaii Volcanoes NP","2004",NA
"1118","Hawaii Volcanoes NP","2005",NA
"1119","Hawaii Volcanoes NP","2006",NA
"1120","Hawaii Volcanoes NP","2007",NA
"1121","Hawaii Volcanoes NP","2008",NA
"1122","Hawaii Volcanoes NP","2009",NA
"1123","Hawaii Volcanoes NP","2010",NA
"1124","Hawaii Volcanoes NP","2011",NA
"1125","Hawaii Volcanoes NP","2012",NA
"1126","Hawaii Volcanoes NP","2013",NA
"1127","Hawaii Volcanoes NP","2014",NA
"1128","Hawaii Volcanoes NP","2015",NA
"1129","Hawaii Volcanoes NP","2016",NA
"1130","Hawaii Volcanoes NP","2017",NA
"1131","Hawaii Volcanoes NP","2018",NA
"1132","Hot Springs NP","1980",NA
"1133","Hot Springs NP","1981",NA
"1134","Hot Springs NP","1982",NA
"1135","Hot Springs NP","1983",NA
"1136","Hot Springs NP","1984",NA
"1137","Hot Springs NP","1985",NA
"1138","Hot Springs NP","1986",NA
"1139","Hot Springs NP","1987",NA
"1140","Hot Springs NP","1988",NA
"1141","Hot Springs NP","1989",NA
"1142","Hot Springs NP","1990",NA
"1143","Hot Springs NP","1991",NA
"1144","Hot Springs NP","1992",NA
"1145","Hot Springs NP","1993",NA
"1146","Hot Springs NP","1994",NA
"1147","Hot Springs NP","1995",NA
"1148","Hot Springs NP","1996",NA
"1149","Hot Springs NP","1997",NA
"1150","Hot Springs NP","1998",NA
"1151","Hot Springs NP","1999",NA
"1152","Hot Springs NP","2000",NA
"1153","Hot Springs NP","2001",NA
"1154","Hot Springs NP","2002",NA
"1155","Hot Springs NP","2003",NA
"1156","Hot Springs NP","2004",NA
"1157","Hot Springs NP","2005",NA
"1158","Hot Springs NP","2006",NA
"1159","Hot Springs NP","2007",NA
"1160","Hot Springs NP","2008",NA
"1161","Hot Springs NP","2009",NA
"1162","Hot Springs NP","2010",NA
"1163","Hot Springs NP","2011",NA
"1164","Hot Springs NP","2012",NA
"1165","Hot Springs NP","2013",NA
"1166","Hot Springs NP","2014",NA
"1167","Hot Springs NP","2015",NA
"1168","Hot Springs NP","2016",NA
"1169","Hot Springs NP","2017",NA
"1170","Hot Springs NP","2018",NA
"1171","Indiana Dunes NP","1980",NA
"1172","Indiana Dunes NP","1981",NA
"1173","Indiana Dunes NP","1982",NA
"1174","Indiana Dunes NP","1983",NA
"1175","Indiana Dunes NP","1984",NA
"1176","Indiana Dunes NP","1985",NA
"1177","Indiana Dunes NP","1986",NA
"1178","Indiana Dunes NP","1987",NA
"1179","Indiana Dunes NP","1988",NA
"1180","Indiana Dunes NP","1989",NA
"1181","Indiana Dunes NP","1990",NA
"1182","Indiana Dunes NP","1991",NA
"1183","Indiana Dunes NP","1992",NA
"1184","Indiana Dunes NP","1993",NA
"1185","Indiana Dunes NP","1994",NA
"1186","Indiana Dunes NP","1995",NA
"1187","Indiana Dunes NP","1996",NA
"1188","Indiana Dunes NP","1997",NA
"1189","Indiana Dunes NP","1998",NA
"1190","Indiana Dunes NP","1999",NA
"1191","Indiana Dunes NP","2000",NA
"1192","Indiana Dunes NP","2001",NA
"1193","Indiana Dunes NP","2002",NA
"1194","Indiana Dunes NP","2003",NA
"1195","Indiana Dunes NP","2004",NA
"1196","Indiana Dunes NP","2005",NA
"1197","Indiana Dunes NP","2006",NA
"1198","Indiana Dunes NP","2007",NA
"1199","Indiana Dunes NP","2008",NA
"1200","Indiana Dunes NP","2009",NA
"1201","Indiana Dunes NP","2010",NA
"1202","Indiana Dunes NP","2011",NA
"1203","Indiana Dunes NP","2012",NA
"1204","Indiana Dunes NP","2013",NA
"1205","Indiana Dunes NP","2014",NA
"1206","Indiana Dunes NP","2015",NA
"1207","Indiana Dunes NP","2016",NA
"1208","Indiana Dunes NP","2017",NA
"1209","Indiana Dunes NP","2018",NA
"1210","Isle Royale NP","1980",NA
"1211","Isle Royale NP","1981",NA
"1212","Isle Royale NP","1982",NA
"1213","Isle Royale NP","1983",NA
"1214","Isle Royale NP","1984",NA
"1215","Isle Royale NP","1985",NA
"1216","Isle Royale NP","1986",NA
"1217","Isle Royale NP","1987",NA
"1218","Isle Royale NP","1988",NA
"1219","Isle Royale NP","1989",NA
"1220","Isle Royale NP","1990",NA
"1221","Isle Royale NP","1991",NA
"1222","Isle Royale NP","1992",NA
"1223","Isle Royale NP","1993",NA
"1224","Isle Royale NP","1994",NA
"1225","Isle Royale NP","1995",NA
"1226","Isle Royale NP","1996",NA
"1227","Isle Royale NP","1997",NA
"1228","Isle Royale NP","1998",NA
"1229","Isle Royale NP","1999",NA
"1230","Isle Royale NP","2000",NA
"1231","Isle Royale NP","2001",NA
"1232","Isle Royale NP","2002",NA
"1233","Isle Royale NP","2003",NA
"1234","Isle Royale NP","2004",NA
"1235","Isle Royale NP","2005",NA
"1236","Isle Royale NP","2006",NA
"1237","Isle Royale NP","2007",NA
"1238","Isle Royale NP","2008",NA
"1239","Isle Royale NP","2009",NA
"1240","Isle Royale NP","2010",NA
"1241","Isle Royale NP","2011",NA
"1242","Isle Royale NP","2012",NA
"1243","Isle Royale NP","2013",NA
"1244","Isle Royale NP","2014",NA
"1245","Isle Royale NP","2015",NA
"1246","Isle Royale NP","2016",NA
"1247","Isle Royale NP","2017",NA
"1248","Isle Royale NP","2018",NA
"1249","Gateway Arch NP","1980",NA
"1250","Gateway Arch NP","1981",NA
"1251","Gateway Arch NP","1982",NA
"1252","Gateway Arch NP","1983",NA
"1253","Gateway Arch NP","1984",NA
"1254","Gateway Arch NP","1985",NA
"1255","Gateway Arch NP","1986",NA
"1256","Gateway Arch NP","1987",NA
"1257","Gateway Arch NP","1988",NA
"1258","Gateway Arch NP","1989",NA
"1259","Gateway Arch NP","1990",NA
"1260","Gateway Arch NP","1991",NA
"1261","Gateway Arch NP","1992",NA
"1262","Gateway Arch NP","1993",NA
"1263","Gateway Arch NP","1994",NA
"1264","Gateway Arch NP","1995",NA
"1265","Gateway Arch NP","1996",NA
"1266","Gateway Arch NP","1997",NA
"1267","Gateway Arch NP","1998",NA
"1268","Gateway Arch NP","1999",NA
"1269","Gateway Arch NP","2000",NA
"1270","Gateway Arch NP","2001",NA
"1271","Gateway Arch NP","2002",NA
"1272","Gateway Arch NP","2003",NA
"1273","Gateway Arch NP","2004",NA
"1274","Gateway Arch NP","2005",NA
"1275","Gateway Arch NP","2006",NA
"1276","Gateway Arch NP","2007",NA
"1277","Gateway Arch NP","2008",NA
"1278","Gateway Arch NP","2009",NA
"1279","Gateway Arch NP","2010",NA
"1280","Gateway Arch NP","2011",NA
"1281","Gateway Arch NP","2012",NA
"1282","Gateway Arch NP","2013",NA
"1283","Gateway Arch NP","2014",NA
"1284","Gateway Arch NP","2015",NA
"1285","Gateway Arch NP","2016",NA
"1286","Gateway Arch NP","2017",NA
"1287","Gateway Arch NP","2018",NA
"1288","Joshua Tree NP","1980",NA
"1289","Joshua Tree NP","1981",NA
"1290","Joshua Tree NP","1982",NA
"1291","Joshua Tree NP","1983",NA
"1292","Joshua Tree NP","1984",NA
"1293","Joshua Tree NP","1985",NA
"1294","Joshua Tree NP","1986",NA
"1295","Joshua Tree NP","1987",NA
"1296","Joshua Tree NP","1988",NA
"1297","Joshua Tree NP","1989",NA
"1298","Joshua Tree NP","1990",NA
"1299","Joshua Tree NP","1991",NA
"1300","Joshua Tree NP","1992",NA
"1301","Joshua Tree NP","1993",NA
"1302","Joshua Tree NP","1994",NA
"1303","Joshua Tree NP","1995",NA
"1304","Joshua Tree NP","1996",NA
"1305","Joshua Tree NP","1997",NA
"1306","Joshua Tree NP","1998",NA
"1307","Joshua Tree NP","1999",NA
"1308","Joshua Tree NP","2000",NA
"1309","Joshua Tree NP","2001",NA
"1310","Joshua Tree NP","2002",NA
"1311","Joshua Tree NP","2003",NA
"1312","Joshua Tree NP","2004",NA
"1313","Joshua Tree NP","2005",NA
"1314","Joshua Tree NP","2006",NA
"1315","Joshua Tree NP","2007",NA
"1316","Joshua Tree NP","2008",NA
"1317","Joshua Tree NP","2009",NA
"1318","Joshua Tree NP","2010",NA
"1319","Joshua Tree NP","2011",NA
"1320","Joshua Tree NP","2012",NA
"1321","Joshua Tree NP","2013",NA
"1322","Joshua Tree NP","2014",NA
"1323","Joshua Tree NP","2015",NA
"1324","Joshua Tree NP","2016",NA
"1325","Joshua Tree NP","2017",NA
"1326","Joshua Tree NP","2018",NA
"1327","Katmai NP & PRES","1980",NA
"1328","Katmai NP & PRES","1981",NA
"1329","Katmai NP & PRES","1982",NA
"1330","Katmai NP & PRES","1983",NA
"1331","Katmai NP & PRES","1984",NA
"1332","Katmai NP & PRES","1985",NA
"1333","Katmai NP & PRES","1986",NA
"1334","Katmai NP & PRES","1987",NA
"1335","Katmai NP & PRES","1988",NA
"1336","Katmai NP & PRES","1989",NA
"1337","Katmai NP & PRES","1990",NA
"1338","Katmai NP & PRES","1991",NA
"1339","Katmai NP & PRES","1992",NA
"1340","Katmai NP & PRES","1993",NA
"1341","Katmai NP & PRES","1994",NA
"1342","Katmai NP & PRES","1995",NA
"1343","Katmai NP & PRES","1996",NA
"1344","Katmai NP & PRES","1997",NA
"1345","Katmai NP & PRES","1998",NA
"1346","Katmai NP & PRES","1999",NA
"1347","Katmai NP & PRES","2000",NA
"1348","Katmai NP & PRES","2001",NA
"1349","Katmai NP & PRES","2002",NA
"1350","Katmai NP & PRES","2003",NA
"1351","Katmai NP & PRES","2004",NA
"1352","Katmai NP & PRES","2005",NA
"1353","Katmai NP & PRES","2006",NA
"1354","Katmai NP & PRES","2007",NA
"1355","Katmai NP & PRES","2008",NA
"1356","Katmai NP & PRES","2009",NA
"1357","Katmai NP & PRES","2010",NA
"1358","Katmai NP & PRES","2011",NA
"1359","Katmai NP & PRES","2012",NA
"1360","Katmai NP & PRES","2013",NA
"1361","Katmai NP & PRES","2014",NA
"1362","Katmai NP & PRES","2015",NA
"1363","Katmai NP & PRES","2016",NA
"1364","Katmai NP & PRES","2017",NA
"1365","Katmai NP & PRES","2018",NA
"1366","Kenai Fjords NP","1980",NA
"1367","Kenai Fjords NP","1981",NA
"1368","Kenai Fjords NP","1982",NA
"1369","Kenai Fjords NP","1983",NA
"1370","Kenai Fjords NP","1984",NA
"1371","Kenai Fjords NP","1985",NA
"1372","Kenai Fjords NP","1986",NA
"1373","Kenai Fjords NP","1987",NA
"1374","Kenai Fjords NP","1988",NA
"1375","Kenai Fjords NP","1989",NA
"1376","Kenai Fjords NP","1990",NA
"1377","Kenai Fjords NP","1991",NA
"1378","Kenai Fjords NP","1992",NA
"1379","Kenai Fjords NP","1993",NA
"1380","Kenai Fjords NP","1994",NA
"1381","Kenai Fjords NP","1995",NA
"1382","Kenai Fjords NP","1996",NA
"1383","Kenai Fjords NP","1997",NA
"1384","Kenai Fjords NP","1998",NA
"1385","Kenai Fjords NP","1999",NA
"1386","Kenai Fjords NP","2000",NA
"1387","Kenai Fjords NP","2001",NA
"1388","Kenai Fjords NP","2002",NA
"1389","Kenai Fjords NP","2003",NA
"1390","Kenai Fjords NP","2004",NA
"1391","Kenai Fjords NP","2005",NA
"1392","Kenai Fjords NP","2006",NA
"1393","Kenai Fjords NP","2007",NA
"1394","Kenai Fjords NP","2008",NA
"1395","Kenai Fjords NP","2009",NA
"1396","Kenai Fjords NP","2010",NA
"1397","Kenai Fjords NP","2011",NA
"1398","Kenai Fjords NP","2012",NA
"1399","Kenai Fjords NP","2013",NA
"1400","Kenai Fjords NP","2014",NA
"1401","Kenai Fjords NP","2015",NA
"1402","Kenai Fjords NP","2016",NA
"1403","Kenai Fjords NP","2017",NA
"1404","Kenai Fjords NP","2018",NA
"1405","Kings Canyon NP","1980",NA
"1406","Kings Canyon NP","1981",NA
"1407","Kings Canyon NP","1982",NA
"1408","Kings Canyon NP","1983",NA
"1409","Kings Canyon NP","1984",NA
"1410","Kings Canyon NP","1985",NA
"1411","Kings Canyon NP","1986",NA
"1412","Kings Canyon NP","1987",NA
"1413","Kings Canyon NP","1988",NA
"1414","Kings Canyon NP","1989",NA
"1415","Kings Canyon NP","1990",NA
"1416","Kings Canyon NP","1991",NA
"1417","Kings Canyon NP","1992",NA
"1418","Kings Canyon NP","1993",NA
"1419","Kings Canyon NP","1994",NA
"1420","Kings Canyon NP","1995",NA
"1421","Kings Canyon NP","1996",NA
"1422","Kings Canyon NP","1997",NA
"1423","Kings Canyon NP","1998",NA
"1424","Kings Canyon NP","1999",NA
"1425","Kings Canyon NP","2000",NA
"1426","Kings Canyon NP","2001",NA
"1427","Kings Canyon NP","2002",NA
"1428","Kings Canyon NP","2003",NA
