,X1,UnitCode,Year,Month,ParkName,RecreationVisits,Smoke,stdsmoke,Season,CatColS,CatColM
58,571,ARCH,1988,7,Arches NP,77160,1.84E-09,0.073592645,Summer,ARCHSummer,ARCH07
59,581,ARCH,1989,5,Arches NP,75599,3.91E-09,0.671457469,Spring,ARCHSpring,ARCH05
60,591,ARCH,1990,3,Arches NP,42372,1.66E-09,0.02057562,Spring,ARCHSpring,ARCH03
61,601,ARCH,1991,1,Arches NP,6307,4.98E-10,-0.313767482,Winter,ARCHWinter,ARCH01
62,611,ARCH,1991,11,Arches NP,14808,5.51E-10,-0.298471286,Fall,ARCHFall,ARCH11
63,621,ARCH,1992,9,Arches NP,104561,9.85E-10,-0.173041237,Fall,ARCHFall,ARCH09
64,631,ARCH,1993,7,Arches NP,116886,1.99E-09,0.115674178,Summer,ARCHSummer,ARCH07
65,641,ARCH,1994,5,Arches NP,103871,2.78E-09,0.344866618,Spring,ARCHSpring,ARCH05
66,651,ARCH,1995,3,Arches NP,52952,1.13E-09,-0.132196827,Spring,ARCHSpring,ARCH03
67,661,ARCH,1996,1,Arches NP,8183,7.26E-10,-0.247861048,Winter,ARCHWinter,ARCH01
68,671,ARCH,1996,11,Arches NP,19972,9.11E-10,-0.1944268,Fall,ARCHFall,ARCH11
69,681,ARCH,1997,9,Arches NP,119450,1.04E-09,-0.157196566,Fall,ARCHFall,ARCH09
70,691,ARCH,1998,7,Arches NP,113040,1.35E-09,-0.067472855,Summer,ARCHSummer,ARCH07
71,701,ARCH,1999,5,Arches NP,120213,3.32E-09,0.499326412,Spring,ARCHSpring,ARCH05
72,711,ARCH,2000,3,Arches NP,52392,2.76E-09,0.33971839,Spring,ARCHSpring,ARCH03
73,721,ARCH,2001,1,Arches NP,10566,1.30E-09,-0.081958235,Winter,ARCHWinter,ARCH01
74,731,ARCH,2001,11,Arches NP,26363,1.01E-09,-0.166077534,Fall,ARCHFall,ARCH11
75,741,ARCH,2002,9,Arches NP,98581,1.67E-09,0.024985875,Fall,ARCHFall,ARCH09
76,751,ARCH,2003,7,Arches NP,95296,2.32E-09,0.211433109,Summer,ARCHSummer,ARCH07
77,761,ARCH,2004,5,Arches NP,113248,4.29E-09,0.781892064,Spring,ARCHSpring,ARCH05
78,771,ARCH,2005,3,Arches NP,62843,2.81E-09,0.353608309,Spring,ARCHSpring,ARCH03
79,781,ARCH,2006,1,Arches NP,12841,1.30E-09,-0.082024205,Winter,ARCHWinter,ARCH01
80,791,ARCH,2006,11,Arches NP,28087,1.58E-09,-0.002713896,Fall,ARCHFall,ARCH11
81,801,ARCH,2007,9,Arches NP,120301,1.50E-09,-0.023386204,Fall,ARCHFall,ARCH09
82,811,ARCH,2008,7,Arches NP,121038,2.49E-09,0.261626172,Summer,ARCHSummer,ARCH07
83,821,ARCH,2009,5,Arches NP,139332,2.75E-09,0.336731378,Spring,ARCHSpring,ARCH05
84,831,ARCH,2010,3,Arches NP,57623,2.78E-09,0.34433136,Spring,ARCHSpring,ARCH03
