"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke"
"94","ACAD","1987","10","Acadia NP",444810,5.34439603683268e-10
"95","ACAD","1987","11","Acadia NP",299699,5.2137771877625e-10
"96","ACAD","1987","12","Acadia NP",54679,3.66314284461211e-10
"97","ACAD","1988","01","Acadia NP",43462,3.9296504938946e-10
"98","ACAD","1988","02","Acadia NP",30060,4.63510424486557e-10
"99","ACAD","1988","03","Acadia NP",54253,5.06566566471633e-10
"100","ACAD","1988","04","Acadia NP",223653,6.77133682458475e-10
"101","ACAD","1988","05","Acadia NP",448299,7.06583902498892e-10
"102","ACAD","1988","06","Acadia NP",582015,5.31869659425865e-10
"103","ACAD","1988","07","Acadia NP",799802,4.22190254978361e-10
"104","ACAD","1988","08","Acadia NP",909762,4.98588503816677e-10
"105","ACAD","1988","09","Acadia NP",601530,2.67198402292834e-10
"106","ACAD","1988","10","Acadia NP",455637,3.05264175048947e-10
"107","ACAD","1988","11","Acadia NP",303503,4.87015816563741e-10
"108","ACAD","1988","12","Acadia NP",50307,5.86178550143757e-10
"109","ACAD","1989","01","Acadia NP",41114,7.18154036238872e-10
"110","ACAD","1989","02","Acadia NP",42012,4.37820474319395e-10
"111","ACAD","1989","03","Acadia NP",74773,8.0635359500647e-10
"112","ACAD","1989","04","Acadia NP",324714,1.02492048181801e-09
"113","ACAD","1989","05","Acadia NP",579272,1.00372576916641e-09
"114","ACAD","1989","06","Acadia NP",704488,8.28832225074905e-10
"115","ACAD","1989","07","Acadia NP",999535,3.06999092813953e-10
"116","ACAD","1989","08","Acadia NP",1045060,2.98190139247367e-10
"117","ACAD","1989","09","Acadia NP",666669,3.46855738575513e-10
"118","ACAD","1989","10","Acadia NP",610334,5.01966801458309e-10
"119","ACAD","1989","11","Acadia NP",302857,6.09673145302025e-10
"120","ACAD","1989","12","Acadia NP",50124,5.84497394928718e-10
"121","ACAD","1990","01","Acadia NP",16084,2.93284396768456e-10
"122","ACAD","1990","02","Acadia NP",13383,4.14256157155179e-10
"123","ACAD","1990","03","Acadia NP",30060,8.26720969460126e-10
"124","ACAD","1990","04","Acadia NP",17898,1.05262965011121e-09
"125","ACAD","1990","05","Acadia NP",148090,8.38649816259363e-10
"126","ACAD","1990","06","Acadia NP",290533,5.50430478973851e-10
"127","ACAD","1990","07","Acadia NP",554953,4.10217193547169e-10
"128","ACAD","1990","08","Acadia NP",645522,2.42486253299035e-10
"129","ACAD","1990","09","Acadia NP",355864,3.08587128072801e-10
"130","ACAD","1990","10","Acadia NP",207770,6.24543139426947e-10
"131","ACAD","1990","11","Acadia NP",47633,5.01028107890988e-10
"132","ACAD","1990","12","Acadia NP",11801,4.57030358003152e-10
"133","ACAD","1991","01","Acadia NP",24588,3.96932819946016e-10
"134","ACAD","1991","02","Acadia NP",14667,2.41750536256191e-10
"135","ACAD","1991","03","Acadia NP",31291,6.68334110276447e-10
"136","ACAD","1991","04","Acadia NP",75738,1.0789316107207e-09
"137","ACAD","1991","05","Acadia NP",157252,1.27793331472503e-09
"138","ACAD","1991","06","Acadia NP",295348,1.08443298785232e-09
"139","ACAD","1991","07","Acadia NP",574529,4.30192520495254e-10
"140","ACAD","1991","08","Acadia NP",640990,2.40786307559304e-10
"141","ACAD","1991","09","Acadia NP",377904,2.27453930690125e-10
"142","ACAD","1991","10","Acadia NP",224497,2.18981804911422e-10
"143","ACAD","1991","11","Acadia NP",45518,2.55212795341464e-10
"144","ACAD","1991","12","Acadia NP",13535,2.39290975923012e-10
"145","ACAD","1992","01","Acadia NP",17510,2.74131106703379e-10
"146","ACAD","1992","02","Acadia NP",21110,2.50802351109414e-10
"147","ACAD","1992","03","Acadia NP",30312,3.09301528833572e-10
"148","ACAD","1992","04","Acadia NP",63276,5.67147717678296e-10
"149","ACAD","1992","05","Acadia NP",164400,3.71137148791334e-10
"150","ACAD","1992","06","Acadia NP",262173,3.21699278327259e-10
"151","ACAD","1992","07","Acadia NP",539109,2.32270883082641e-10
"152","ACAD","1992","08","Acadia NP",615843,2.1059254340372e-10
"153","ACAD","1992","09","Acadia NP",391798,1.92051347047695e-10
"154","ACAD","1992","10","Acadia NP",211573,2.73722183807834e-10
"155","ACAD","1992","11","Acadia NP",46316,3.52650242341213e-10
"156","ACAD","1992","12","Acadia NP",18693,3.44924588890905e-10
